"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"466","CALS5014-C","Livestock","Blue Mountain Biogas,","Blue Mountain Biogas",50264,0,100.00%,"2015","CCO-0","Compliance",2018-07-31,2015-07-31,2016-01-12,"CAR997"
"465","CALS5128-A","Livestock","Farm Power","Farm Power Lynden Anaerobic",22901,0,100.00%,"2015","CCO-0","Compliance",2018-07-31,2015-07-31,2016-05-10,"CAR1128"
"464","CALS5143-B","Livestock","Grotegut Dairy Farm,","Grotegut Dairy Farm, Inc.",15216,15216,0.00%,"2015","CCO-0","Compliance",2018-07-31,2015-07-31,2019-06-11,"CAR1135"
"463","CALS5155-A","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy West",14935,0,100.00%,"2015","CCO-0","Compliance",2018-07-31,2015-07-31,2017-02-21,"CAR1155"
"462","CALS5156-A","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy East",7720,0,100.00%,"2015","CCO-0","Compliance",2018-07-31,2015-07-31,2017-02-21,"CAR1156"
"461","CALS5176-A","Livestock","Dairy Energy, Inc.","Vanderhyde Dairy",8393,0,100.00%,"2015","CCO-0","Compliance",2018-07-31,2015-07-31,2016-09-13,"CAR1146"
"460","CAFR5072-B","U.S. Forest","White Mountain","White Mountain Apache Tribe",178288,71801,59.73%,"2015","CCO-8","Compliance",2023-07-31,2015-07-31,2017-08-22,"ACR211"
"459","CAFR5105-A","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",74798,50134,32.97%,"2015","CCO-0","Compliance",2018-08-14,2015-08-14,2016-09-13,"CAR1109"
"458","CAFR5012-C","U.S. Forest","Hanes Ranch","Hanes Ranch Forest Carbon",8121,8121,0.00%,"2015","CCO-8","Compliance",2023-08-25,2015-08-25,2016-10-25,"ACR182"
"457","CAFR5195-A","U.S. Forest","Passamaquoddy Joint","",482770,72887,84.90%,"2015","CCO-0","Compliance",2018-08-31,2015-08-31,2016-11-22,"CAR1175"
"456","CAFR5195-A2","U.S. Forest","Passamaquoddy Joint","",484533,138795,71.35%,"2015","CCO-0","Compliance",2018-08-31,2015-08-31,2017-03-07,"CAR1175"
"455","CAFR5195-A3","U.S. Forest","Passamaquoddy Joint","",2251191,0,100.00%,"2015","CCO-0","Compliance",2018-08-31,2015-08-31,2017-06-13,"CAR1175"
"454","CALS5120-A","Livestock","Fair Oaks Dairy Farm,","Fair Oaks Dairy Farm LLC",56790,0,100.00%,"2015","CCO-0","Compliance",2018-08-31,2015-08-31,2016-09-13,"CAR1120"
"453","CALS5139-A","Livestock","Edaleen Cow Power,","Edaleen Cow Power, LLC",8746,0,100.00%,"2015","CCO-0","Compliance",2018-08-31,2015-08-31,2016-07-12,"ACR239"
"452","CAFR5089-B","U.S. Forest","Jackson Timberland"," JTO Champion",112504,14625,87.00%,"2015","CCO-8","Compliance",2023-08-31,2015-08-31,2017-12-12,"CAR1088"
"451","CAOD5190-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",130995,17166,86.90%,"2015","CCO-0","Compliance",2018-09-03,2015-09-03,2015-10-27,"CAR1172"
"450","CALS5223-A","Livestock","UW-Oshkosh","Rosendale Anaerobic Digester",28911,0,100.00%,"2015","CCO-0","Compliance",2018-09-15,2015-09-15,2016-10-25,"ACR283"
"449","CAFR5199-A","U.S. Forest","Heartwood Forestland","Wyoming Improved Forest",3615158,50289,98.61%,"2015","CCO-0","Compliance",2018-09-23,2015-09-23,2017-05-23,"ACR249"
"448","CAFR5214-A","U.S. Forest","Confederated Tribes","Warm Springs Phase One",1813212,1813212,0.00%,"2015","CCO-8","Compliance",2023-09-27,2015-09-27,2018-08-07,"ACR260"
"447","CAOD5191-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 6",39036,0,100.00%,"2015","CCO-8","Compliance",2023-09-28,2015-09-28,2016-01-12,"ACR254"
"446","CAFR5317-A","U.S. Forest","GLS Woodlands, LLC"," Lyme Grand",484167,0,100.00%,"2015","CCO-8","Compliance",2023-09-29,2015-09-29,2016-08-09,"CAR1217"
"445","CAFR5096-B","U.S. Forest","Coastal Forestlands,","Brushy Mountain",145410,0,100.00%,"2015","CCO-0","Compliance",2018-09-30,2015-09-30,2016-08-09,"CAR1095"
"444","CALS5032-C","Livestock","New Energy One, LLC","New Energy One Livestock",41572,0,100.00%,"2015","CCO-0","Compliance",2018-09-30,2015-09-30,2016-04-12,"CAR1022"
"443","CALS5097-B","Livestock","Pagel's Ponderosa","Pagel's Ponderosa Dairy",22208,0,100.00%,"2015","CCO-0","Compliance",2018-09-30,2015-09-30,2018-06-12,"CAR1049"
"442","CALS5109-A","Livestock","Dairy Dreams, LLC","Dairy Dreams Methane",18620,0,100.00%,"2015","CCO-0","Compliance",2018-09-30,2015-09-30,2016-03-22,"CAR1097"
"441","CAFR5212-A","U.S. Forest","Ross Bewley","Bewley Ranches",546264,448383,17.92%,"2015","CCO-8","Compliance",2023-09-30,2015-09-30,2016-10-25,"ACR262"
"440","CAOD5140-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 240",129700,39700,69.39%,"2015","CCO-8","Compliance",2023-10-18,2015-10-18,2015-12-22,"ACR240"
"439","CAFR5205-A","U.S. Forest","Lukens Island Timber","Green Assets :  Lukens",52146,52146,0.00%,"2015","CCO-0","Compliance",2018-10-29,2015-10-29,2017-02-07,"ACR265"
"438","CALS5023-C","Livestock","DF-AP#1, LLC","Big Sky Dairy",23610,13914,41.07%,"2015","CCO-0","Compliance",2018-10-29,2015-10-29,2017-11-21,"ACR190"
"437","CALS5042-C","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",4727,0,100.00%,"2015","CCO-0","Compliance",2018-10-31,2015-10-31,2016-02-23,"CAR1033"
"436","CALS5101-A","Livestock","ClimeCo Corporation","Vander Haak Dairy COP",5146,0,100.00%,"2015","CCO-0","Compliance",2018-10-31,2015-10-31,2016-12-27,"CAR1101"
"435","CALS5126-A","Livestock","Riverview, LLP","West River Farm Anaerobic",22396,0,100.00%,"2015","CCO-0","Compliance",2018-10-31,2015-10-31,2016-06-21,"CAR1126"
"434","CALS5127-A","Livestock","Riverview, LLP","District 45 Dairy",22318,0,100.00%,"2015","CCO-0","Compliance",2018-10-31,2015-10-31,2016-05-10,"CAR1127"
"433","CALS5175-A","Livestock","Storms Hog Power","Storms Hog Power, LLC",7334,0,100.00%,"2015","CCO-0","Compliance",2018-10-31,2015-10-31,2016-06-07,"CAR1145"
"432","CALS5125-A","Livestock","Riverview, LLP","Riverview Farm Anaerobic",36268,0,100.00%,"2015","CCO-8","Compliance",2023-10-31,2015-10-31,2016-06-21,"CAR1125"
"431","CAOD5222-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 16",245946,0,100.00%,"2015","CCO-0","Compliance",2018-11-02,2015-11-02,2016-07-12,"CAR1182"
"430","CALS5134-A","Livestock","Alliance Dairies","Alliance Dairy",12382,0,100.00%,"2015","CCO-0","Compliance",2018-11-05,2015-11-05,2016-11-22,"ACR234"
"429","CAOD5188-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 252",140736,0,100.00%,"2015","CCO-8","Compliance",2023-11-19,2015-11-19,2016-02-09,"ACR252"
"428","CAOD5216-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 285",45663,0,100.00%,"2015","CCO-8","Compliance",2023-11-24,2015-11-24,2016-01-26,"ACR285"
"427","CALS5181-A","Livestock","Gardeau Crest Farms,","Gardeau Crest Dairy",14179,0,100.00%,"2015","CCO-0","Compliance",2018-11-26,2015-11-26,2016-12-27,"ACR241"
"426","CALS5138-A","Livestock","Willet Dairy, LLC","Willet Dairy",17350,0,100.00%,"2015","CCO-0","Compliance",2018-11-29,2015-11-29,2017-02-21,"ACR238"
"425","CAFR5028-C","U.S. Forest","Round Valley Indian","Round Valley Indian Tribes",38711,38711,0.00%,"2015","CCO-0","Compliance",2018-11-30,2015-11-30,2017-03-21,"ACR173"
"424","CALS5135-A","Livestock","Synergy Biogas, LLC","Synergy Biogas, LLC",6904,0,100.00%,"2015","CCO-0","Compliance",2018-11-30,2015-11-30,2017-02-21,"ACR235"
"423","CALS5263-A","Livestock","Davis Family Dairies,","High Island Dairy",21886,0,100.00%,"2015","CCO-0","Compliance",2018-11-30,2015-11-30,2016-10-11,"ACR313"
"422","CAFR5150-A","U.S. Forest","GM Gabrych Family","Forest Carbon Partners : ",231958,231958,0.00%,"2015","CCO-8","Compliance",2023-12-08,2015-12-08,2017-04-11,"CAR1104"
"421","CAFR5206-A","U.S. Forest","Milbury Plantation,","Green Assets :  Milbury",124306,24306,80.45%,"2015","CCO-0","Compliance",2018-12-10,2015-12-10,2017-03-07,"ACR266"
"420","CALS5108-A","Livestock","Ag Power Jerome,","Double A Dairy",60194,0,100.00%,"2015","CCO-0","Compliance",2018-12-21,2015-12-21,2016-11-08,"ACR233"
"419","CAOD5189-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 253",135017,0,100.00%,"2015","CCO-8","Compliance",2023-12-21,2015-12-21,2016-02-23,"ACR253"
"418","CAOD5260-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2015:3",108622,0,100.00%,"2015","CCO-0","Compliance",2018-12-25,2015-12-25,2016-05-24,"CAR1219"
"417","CALS5044-C","Livestock","ClimeCo Corporation","T&M Bos Dairy",11739,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2017-12-26,"CAR1055"
"416","CALS5046-C","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",13032,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2017-01-10,"CAR1057"
"415","CALS5047-C","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",24418,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2017-01-24,"CAR1058"
"414","CALS5107-A","Livestock","Ag Power DCD, LLC","The Dry Creek Dairy Biofactory",43254,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2016-09-13,"ACR232"
"413","CALS5131-A","Livestock","Pacific Rim Energy,","Pacific Rim Dairy Digester",31704,31704,0.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2016-09-27,"CAR1108"
"412","CALS5132-B","Livestock","RES Agriculture NC1,","RES Ag :  DM4:3 LLC",9251,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2016-12-13,"CAR1132"
"411","CALS5133-B","Livestock","RES Agriculture NC1,","RES Ag :  DM2:1 LLC",6340,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2016-12-13,"CAR1133"
"410","CALS5151-A","Livestock","Gallo Cattle Company,","Cottonwood Dairy Livestock",40236,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2017-02-21,"CAR1151"
"409","CALS5152-B","Livestock","Aurora Ridge Dairy,","Aurora Ridge Dairy",13152,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2017-02-21,"CAR1152"
"408","CAMM5100-B","Mine Methane","McElroy Green","Marshall County VAM",224038,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2016-07-12,"ACR226"
"407","CAMM5178-A","Mine Methane","Solvay Chemicals, Inc.","Solvay Chemicals, Inc. Waste",189455,0,100.00%,"2015","CCO-0","Compliance",2018-12-31,2015-12-31,2016-09-13,"CAR1105"
"406","CAFR5170-A","U.S. Forest","Coastal Ridges LLC, a","Willits Woods IFM",175730,175730,0.00%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2017-06-13,"CAR1140"
"405","CAFR5281-A","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest :  IFM",248509,185378,25.40%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2017-04-11,"CAR1139"
"404","CALS5060-B","Livestock","Van Erk Dairy, LLC","Van:Erk Digester Project",4863,0,100.00%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2017-03-21,"CAR1064"
"403","CALS5071-A","Livestock","California Bioenergy,","ABEC New Hope LLC",4978,896,82.00%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2017-01-24,"CAR1065"
"402","CALS5081-A","Livestock","Roeslein Alternative","Roeslein Alternative Energy of",19648,0,100.00%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2016-10-11,"CAR1083"
"401","CALS5142-A","Livestock","Fiscalini Properties,","Fiscalini Farms Anaerobic",7922,3961,50.00%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2017-09-26,"CAR1142"
"400","CALS5197-A","Livestock","Pixley Biogas, LLC","Pixley Biogas, LLC",8213,8213,0.00%,"2015","CCO-8","Compliance",2023-12-31,2015-12-31,2019-01-22,"CAR1177"
"601","CAFR5034-A","U.S. Forest","Connecticut Lakes"," The Forestland",1165601,1140044,2.19%,"2014","CCO-0","Compliance",2017-01-07,2014-01-07,2014-12-23,"ACR199"
"600","CAOD5039-A","Ozone Depleting Substances","Reclamation","A:GAS RemTec 2013:4",191960,119526,37.73%,"2014","CCO-0","Compliance",2017-01-14,2014-01-14,2015-03-24,"CAR1051"
"599","CAOD5036-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",30587,26867,12.16%,"2014","CCO-0","Compliance",2017-01-22,2014-01-22,2015-02-10,"CAR1047"
"598","CAOD5035-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:7",84418,69554,17.61%,"2014","CCO-8","Compliance",2022-01-30,2014-01-30,2014-04-22,"ACR193"
"597","CALS5025-A","Livestock","Ideal Family Farms,","Ideal Family Farms Digester",5829,4577,21.48%,"2014","CCO-0","Compliance",2017-01-31,2014-01-31,2015-05-12,"CAR1002"
"596","CALS5041-A","Livestock","Brook View Dairy, LLC","Brook View Dairy Methane",12988,12988,0.00%,"2014","CCO-0","Compliance",2017-01-31,2014-01-31,2014-12-09,"CAR1036"
"595","CALS5045-A","Livestock","ClimeCo Corporation","T&M Herrema Dairy",15242,15200,0.28%,"2014","CCO-0","Compliance",2017-01-31,2014-01-31,2015-04-21,"CAR1056"
"594","CAOD5059-A","Ozone Depleting Substances","Environmental Credit","ECC ODS Destruction 2:2014",126314,0,100.00%,"2014","CCO-0","Compliance",2017-02-12,2014-02-12,2015-04-07,"CAR1068"
"593","CAOD5048-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2013:8",67490,13810,79.54%,"2014","CCO-8","Compliance",2022-02-14,2014-02-14,2014-11-25,"CAR1021"
"592","CAFR5063-A","U.S. Forest","Berry Summit, LLC"," Berry Summit",3509,0,100.00%,"2014","CCO-8","Compliance",2022-03-01,2014-03-01,2016-03-08,"CAR1067"
"591","CAFR5011-B","U.S. Forest","Yurok Tribe","Yurok Tribe/Forest Carbon",16436,15331,6.72%,"2014","CCO-0","Compliance",2017-03-31,2014-03-31,2015-05-12,"CAR993"
"590","CALS5019-A","Livestock","WTE Wakker, LLC","Wakker Digester",4830,0,100.00%,"2014","CCO-0","Compliance",2017-03-31,2014-03-31,2015-04-21,"CAR989"
"589","CALS5020-A","Livestock","WTE Deer Run, LLC","Deer Run Digester",4285,0,100.00%,"2014","CCO-0","Compliance",2017-03-31,2014-03-31,2015-05-12,"CAR982"
"588","CALS5021-A","Livestock","WTE Dairyland, LLC","Dairyland Digester",14722,0,100.00%,"2014","CCO-0","Compliance",2017-03-31,2014-03-31,2015-05-12,"CAR969"
"587","CALS5074-A","Livestock","CSE Operating I, LLC","CSE Arizona Facility",16671,0,100.00%,"2014","CCO-0","Compliance",2017-03-31,2014-03-31,2015-05-26,"CAR1076"
"586","CAOD5049-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2014:1",122080,122080,0.00%,"2014","CCO-0","Compliance",2017-04-01,2014-04-01,2014-11-25,"ACR195"
"585","CAOD5050-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",99696,99696,0.00%,"2014","CCO-0","Compliance",2017-04-07,2014-04-07,2015-02-10,"CAR1059"
"584","CAOD5052-A","Ozone Depleting Substances","EOS Climate, Inc.","2014:P4",71825,7154,90.04%,"2014","CCO-0","Compliance",2017-04-22,2014-04-22,2015-02-10,"ACR206"
"583","CAOD5062-A","Ozone Depleting Substances","Reclamation","A:GAS RemTec 2013:5",129099,129099,0.00%,"2014","CCO-0","Compliance",2017-04-23,2014-04-23,2015-06-23,"CAR1069"
"582","CALS5075-A","Livestock","CSE Operating II, LLC","Linde",1452,0,100.00%,"2014","CCO-0","Compliance",2017-04-30,2014-04-30,2015-05-26,"CAR1077"
"581","CALS5077-A","Livestock","Solar & Renewables","Stotz Southern Generation",12431,0,100.00%,"2014","CCO-0","Compliance",2017-04-30,2014-04-30,2015-07-07,"CAR1078"
"580","CAOD5056-A","Ozone Depleting Substances","RapRec Refrigerants,","RR ACR 2014",315794,60781,80.75%,"2014","CCO-0","Compliance",2017-05-23,2014-05-23,2015-05-26,"ACR208"
"579","CAOD5066-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",17848,15014,15.88%,"2014","CCO-0","Compliance",2017-05-28,2014-05-28,2015-02-24,"CAR1071"
"578","CAFR5055-A","U.S. Forest","Sustainable","Buckeye Forest Project",266711,166711,37.49%,"2014","CCO-0","Compliance",2017-05-31,2014-05-31,2015-09-08,"CAR1013"
"577","CAOD5067-A","Ozone Depleting Substances","Reclamation","A:GAS RemTec 2014:1",129838,129838,0.00%,"2014","CCO-0","Compliance",2017-06-01,2014-06-01,2014-12-09,"CAR1072"
"576","CAOD5065-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ARB ODS 2014:2",33214,0,100.00%,"2014","CCO-8","Compliance",2022-06-02,2014-06-02,2015-02-24,"CAR1026"
"575","CAFR5003-B","U.S. Forest","Heartwood Forestland","Blue Source :  Bishop Improved",119314,88107,26.16%,"2014","CCO-0","Compliance",2017-06-23,2014-06-23,2015-09-08,"CAR973"
"574","CAFR5043-A","U.S. Forest","Goodman Forest, LLC","Blue Source :  Goodman",693615,0,100.00%,"2014","CCO-0","Compliance",2017-06-30,2014-06-30,2015-08-11,"ACR202"
"573","CAFR5016-B","U.S. Forest","Edward Miller Trust","Miller Forest",5805,0,100.00%,"2014","CCO-8","Compliance",2022-06-30,2014-06-30,2016-04-26,"ACR189"
"572","CAOD5070-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 3",112378,112378,0.00%,"2014","CCO-0","Compliance",2017-07-02,2014-07-02,2014-11-12,"ACR221"
"571","CAOD5079-A","Ozone Depleting Substances","Reclamation","A:GAS RemTec 2014:2",107744,107744,0.00%,"2014","CCO-0","Compliance",2017-07-18,2014-07-18,2015-06-23,"CAR1089"
"570","CAFR5084-A","U.S. Forest","Potlatch Forest"," Potlatch Moro",57872,0,100.00%,"2014","CCO-8","Compliance",2022-07-26,2014-07-26,2016-03-08,"CAR1086"
"569","CAFR5072-A","U.S. Forest","White Mountain","White Mountain Apache Tribe",3824852,926817,75.77%,"2014","CCO-0","Compliance",2017-07-31,2014-07-31,2015-10-13,"ACR211"
"568","CALS5014-B","Livestock","Blue Mountain Biogas,","Blue Mountain Biogas",62223,61941,0.45%,"2014","CCO-0","Compliance",2017-07-31,2014-07-31,2015-06-23,"CAR997"
"567","CAFR5012-B","U.S. Forest","Hanes Ranch","Hanes Ranch Forest Carbon",8121,952,88.28%,"2014","CCO-8","Compliance",2022-08-25,2014-08-25,2016-10-25,"ACR182"
"566","CAFR5089-A","U.S. Forest","Jackson Timberland"," JTO Champion",695618,0,100.00%,"2014","CCO-0","Compliance",2017-08-31,2014-08-31,2016-02-23,"CAR1088"
"565","CALS5083-A","Livestock","Roeslein Alternative","Roeslein Alternative Energy of",3968,3968,0.00%,"2014","CCO-8","Compliance",2022-08-31,2014-08-31,2015-06-23,"CAR1085"
"564","CAFR5076-A","U.S. Forest","Trinity Timberlands,","Trinity Timberlands University",685099,632768,7.64%,"2014","CCO-8","Compliance",2022-09-18,2014-09-18,2015-06-23,"CAR1046"
"563","CAFR5096-A","U.S. Forest","Coastal Forestlands,","Brushy Mountain",1105031,0,100.00%,"2014","CCO-0","Compliance",2017-09-30,2014-09-30,2015-11-09,"CAR1095"
"562","CALS5032-B","Livestock","New Energy One, LLC","New Energy One Livestock",30650,30650,0.00%,"2014","CCO-0","Compliance",2017-09-30,2014-09-30,2015-05-26,"CAR1022"
"561","CALS5097-A","Livestock","Pagel's Ponderosa","Pagel's Ponderosa Dairy",22554,7373,67.31%,"2014","CCO-0","Compliance",2017-09-30,2014-09-30,2018-06-12,"CAR1049"
"560","CALS5023-B","Livestock","DF-AP#1, LLC","Big Sky Dairy",24558,0,100.00%,"2014","CCO-0","Compliance",2017-10-29,2014-10-29,2016-01-26,"ACR190"
"559","CALS5042-B","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",5384,0,100.00%,"2014","CCO-0","Compliance",2017-10-31,2014-10-31,2015-07-07,"CAR1033"
"558","CAOD0059-D","Ozone Depleting Substances","EOS Climate, Inc.","EOS:2013 Domestic",41061,40381,1.66%,"2014","CCO-0","Compliance",2017-11-25,2014-11-25,2014-11-25,"CAR990"
"557","CAFR5028-B","U.S. Forest","Round Valley Indian","Round Valley Indian Tribes",7177,7177,0.00%,"2014","CCO-0","Compliance",2017-11-30,2014-11-30,2017-03-21,"ACR173"
"556","CAOD5092-A","Ozone Depleting Substances","Reclamation","A:GAS RemTec 2014:3",148331,0,100.00%,"2014","CCO-0","Compliance",2017-12-08,2014-12-08,2016-01-12,"CAR1093"
"555","CAFR5095-A","U.S. Forest","Nisqually Land Trust","Ashford III",37875,37875,0.00%,"2014","CCO-8","Compliance",2022-12-19,2014-12-19,2016-02-09,"CAR1094"
"554","CALS5044-B","Livestock","ClimeCo Corporation","T&M Bos Dairy",4377,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2016-03-22,"CAR1055"
"553","CALS5046-B","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",8823,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2016-03-22,"CAR1057"
"552","CALS5047-B","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",19635,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2016-04-12,"CAR1058"
"551","CALS5132-A","Livestock","RES Agriculture NC1,","RES Ag :  DM4:3 LLC",2385,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2015-12-22,"CAR1132"
"550","CALS5133-A","Livestock","RES Agriculture NC1,","RES Ag :  DM2:1 LLC",4984,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2015-11-09,"CAR1133"
"549","CALS5152-A","Livestock","Aurora Ridge Dairy,","Aurora Ridge Dairy",11065,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2017-02-21,"CAR1152"
"548","CAMM5100-A","Mine Methane","McElroy Green","Marshall County VAM",280667,0,100.00%,"2014","CCO-0","Compliance",2017-12-31,2014-12-31,2015-11-09,"ACR226"
"547","CALS5060-C","Livestock","Van Erk Dairy, LLC","Van:Erk Digester Project",1435,0,100.00%,"2014","CCO-8","Compliance",2022-12-31,2014-12-31,2017-04-11,"CAR1064"
"546","CALS0021-C","Livestock","Camco International","Willow Point Dairy, LLC",20726,4960,76.07%,"2014","CCO-0","Early Action",2018-01-13,2015-01-13,2015-01-13,"CAR463"
"545","CALS0020-D","Livestock","Camco International","Bridgewater Dairy LLC",11169,11169,0.00%,"2014","CCO-0","Compliance",2018-03-24,2015-03-24,2015-03-24,"CAR474"
"544","CALS0013-D","Livestock","Camco International","Central Sands Dairy LLC",14733,14733,0.00%,"2014","CCO-0","Early Action",2018-04-21,2015-04-21,2015-04-21,"CAR479"
"543","CALS0043-C","Livestock","Camco International","Vanderhyde Dairy",8911,8911,0.00%,"2014","CCO-0","Compliance",2018-04-21,2015-04-21,2015-04-21,"CAR944"
"542","CALS0104-B","Livestock","Camco International","Storms Hog Power, LLC",13641,0,100.00%,"2014","CCO-0","Compliance",2018-06-23,2015-06-23,2015-06-23,"CAR1014"
"541","CALS0012-D","Livestock","Camco International","Riverview Farm Anaerobic",29357,0,100.00%,"2014","CCO-0","Early Action",2018-08-25,2015-08-25,2015-08-25,"CAR449"
"540","CALS0014-D","Livestock","Camco International","West River Farm Anaerobic",20243,0,100.00%,"2014","CCO-0","Early Action",2018-08-25,2015-08-25,2015-08-25,"CAR450"
"539","CALS0023-C","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",2280,0,100.00%,"2014","CCO-0","Compliance",2018-08-25,2015-08-25,2015-08-25,"CAR477"
"538","CALS0024-D","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",64352,64351,0.00%,"2014","CCO-0","Early Action",2018-08-25,2015-08-25,2015-08-25,"CAR478"
"537","CALS0083-D","Livestock","Camco International","The Dry Creek Dairy",29527,0,100.00%,"2014","CCO-0","Compliance",2018-08-25,2015-08-25,2015-08-25,"CAR402"
"536","CALS0107-A","Livestock","Holsum Dairies, LLC","Holsum Elm",25259,0,100.00%,"2014","CCO-0","Compliance",2018-08-25,2015-08-25,2015-08-25,"CAR599"
"535","CALS0108-A","Livestock","Holsum Dairies, LLC","Holsum Irish Dairy",17733,12146,31.51%,"2014","CCO-0","Compliance",2018-08-25,2015-08-25,2015-08-25,"CAR601"
"534","CALS0015-D","Livestock","Camco International","District 45 Dairy",14766,0,100.00%,"2014","CCO-0","Compliance",2018-09-22,2015-09-22,2015-09-22,"CAR775"
"533","CALS0034-D","Livestock","Origin Climate Inc.","Green Valley Dairy",18641,0,100.00%,"2014","CCO-0","Early Action",2018-09-22,2015-09-22,2015-09-22,"CAR504"
"532","CALS0055-C","Livestock","Camco International","Double A Dairy",49621,18216,63.29%,"2014","CCO-0","Early Action",2018-09-22,2015-09-22,2015-09-22,"CAR956"
"531","CALS0094-B","Livestock","Camco International","Willet Dairy",17145,0,100.00%,"2014","CCO-0","Early Action",2018-10-13,2015-10-13,2015-10-13,"CAR977"
"530","CALS0096-B","Livestock","Camco International","Synergy Biogas, LLC",7924,0,100.00%,"2014","CCO-0","Early Action",2018-10-13,2015-10-13,2015-10-13,"CAR957"
"529","CALS0097-B","Livestock","Camco International","Gardeau Crest Dairy",12996,9897,23.85%,"2014","CCO-0","Early Action",2018-10-13,2015-10-13,2015-10-13,"CAR978"
"528","CALS0099-D","Livestock","Cargill, Inc.","The B6 Dairy Farm",9953,0,100.00%,"2014","CCO-8","Compliance",2023-10-13,2015-10-13,2015-10-13,"CAR593"
"527","CAMM0118-E","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",133651,0,100.00%,"2014","CCO-8","Compliance",2023-11-09,2015-11-09,2015-11-09,"573"
"526","CALS0081-A","Livestock","Camco International","Edaleen Cow Power, LLC",9619,0,100.00%,"2014","CCO-0","Compliance",2018-11-23,2015-11-23,2015-11-23,"CAR980"
"525","CAFR0001-K","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",137531,0,100.00%,"2014","CCO-8","Early Action",2023-11-23,2015-11-23,2015-11-23,"CAR661"
"524","CALS0119-C","Livestock","ClimeCo Corporation","Sunnyside Farms Inc",10272,0,100.00%,"2014","CCO-0","Compliance",2018-12-08,2015-12-08,2015-12-08,"CAR606"
"523","CALS0109-B","Livestock","Camco International","Alliance Dairies",7810,0,100.00%,"2014","CCO-0","Early Action",2018-12-22,2015-12-22,2015-12-22,"CAR1001"
