"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"773","CAMM0115-D","Mine Methane","Vessels Coal Gas, Inc.","Cambria 33 Abandoned Mine",30000,0,100.00%,"2011","CCO-0","Compliance",2019-08-31,2016-08-31,2016-08-31,"559"
"772","CAFR0105-F","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",612,0,100.00%,"2011","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"771","CAFR0106-D","U.S. Forest","Northeast Wilderness","Howland Research Forest",834,0,100.00%,"2011","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR681"
"770","CAFR0042-E","U.S. Forest","The Conservation","Gualala River Forest",7944,7944,0.00%,"2011",NA,"Early Action",NA,NA,NA,"CAR660"
"920","CAOD0016-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",49000,25000,48.98%,"2010","CCO-0","Compliance",2016-11-12,2013-11-12,2013-11-12,"CAR604"
"919","CAFR0001-G","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",122995,122995,0.00%,"2010","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"918","CAFR0047-E","U.S. Forest","Potlatch Forest"," Potlatch Moro",43690,43690,0.00%,"2010","CCO-0","Compliance",2016-12-24,2013-12-24,2013-12-24,"CAR648"
"917","CAOD0005-A","Ozone Depleting Substances","Environmental Credit","ECC:ODS:PA:001",1e+05,1e+05,0.00%,"2010","CCO-8","Early Action",2022-01-21,2014-01-21,2014-01-21,"CAR784"
"916","CALS0009-A","Livestock","Environmental Credit","Ridgecrest Dairy",815,815,0.00%,"2010","CCO-8","Early Action",2022-02-11,2014-02-11,2014-02-11,"CAR855"
"915","CAOD0005-A2","Ozone Depleting Substances","Environmental Credit","ECC:ODS:PA:001",6398,2491,61.07%,"2010","CCO-8","Early Action",2022-02-11,2014-02-11,2014-02-11,"CAR784"
"914","CALS0003-C","Livestock","Environmental Credit","Coyne Farms",1267,1267,0.00%,"2010","CCO-8","Early Action",2022-02-25,2014-02-25,2014-02-25,"CAR813"
"913","CALS0007-B","Livestock","Environmental Credit","Fessenden Dairy",980,980,0.00%,"2010","CCO-8","Early Action",2022-03-25,2014-03-25,2014-03-25,"CAR831"
"912","CALS0046-A","Livestock","Environmental Credit","Hidden View Dairy",791,791,0.00%,"2010","CCO-0","Compliance",2017-05-13,2014-05-13,2014-05-13,"CAR489"
"911","CAOD0016-D","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",192040,110000,42.72%,"2010","CCO-0","Compliance",2017-05-13,2014-05-13,2014-05-13,"CAR604"
"910","CAOD0016-C","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",72960,26768,63.31%,"2010","CCO-0","Compliance",2017-05-13,2014-05-13,2014-05-13,"CAR604"
"909","CALS0010-B","Livestock","Environmental Credit","Will:O:Crest Farms Livestock",1550,1550,0.00%,"2010","CCO-8","Compliance",2022-05-13,2014-05-13,2014-05-13,"CAR885"
"908","CALS0060-A","Livestock","Environmental Credit","Windy Ridge Dairy",5073,5073,0.00%,"2010","CCO-0","Compliance",2017-08-26,2014-08-26,2014-08-26,"CAR488"
"907","CAFR0058-E","U.S. Forest","The Nature","Virginia Conservation Forestry",15953,15953,0.00%,"2010","CCO-0","Compliance",2017-09-23,2014-09-23,2014-09-23,"CAR686"
