,Offset.Project.Operator,Project.Name,Project Type,tot,Project Owner,Website
189,Hudson Technologies,Hudson Tech 2019-1,Ozone Depleting Substances,54157,Hudson Technologies,https://www.hudsontech.com/
190,Hudson Technologies,Hudson Tech 2019-2,Ozone Depleting Substances,44551,Hudson Technologies,https://www.hudsontech.com/
191,Huron Mountain Club,Huron Mountain Club Forest,U.S. Forest,1099667,Huron Mountain Club,https://huronmountainclub.org/
192,"Ideal Family Farms,",Ideal Family Farms Digester,Livestock,21042,Ideal Family Farms,
193,"Irony, LLC",Irony,Ozone Depleting Substances,8330,"Irony, LLC",
4,"3Degrees Group, Inc.",Kettle Butte Digester,Livestock,43886,3Degrees,https://3degreesinc.com/
196,"Lamb Farms, Inc.",Lambs Dairy Digester,Livestock,29203,Lamb Dairy Digesters,
93,"CSE Operating II, LLC",Linde,Livestock,2975,Center for Sustainable Energy,https://energycenter.org/
27,California Timberlands,Lord Ellis Improved Forest,U.S. Forest,290915,California Timberlands,
199,"Mailliard Ranch, a",Mailliard Ranch,U.S. Forest,763870,The Conservation Fund,https://www.conservationfund.org/
200,"Maple Leaf Dairy, Inc.",Maple Leaf Dairy East,Livestock,25013,Maple Leaf Dairy,
201,"Maple Leaf Dairy, Inc.",Maple Leaf Dairy West,Livestock,61474,Maple Leaf Dairy,
204,McElroy Green,Marshall County VAM,Mine Methane,1045923,McElroy Green Marketing,
16,"Bascom Pacific, LLC",McCloud River,U.S. Forest,214660,Blue Source,http://www.bluesource.com/
120,Environmental Credit,Miedema Dairy,Livestock,3668,ClimeCo,https://climeco.com/
107,Edward Miller Trust,Miller Forest,U.S. Forest,243201,Edward Miller Trust,
212,"Montesol, LLC",Montesol – Forest Carbon,U.S. Forest,176441,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
216,"New Energy One, LLC",New Energy One Livestock,Livestock,192984,New Energy One,
225,"Open Sky Ranch, Inc.",Open Sky Ranch Dairy Digester,Livestock,62741,Open Sky Ranch Dairy,
230,"Pacific Rim Energy,",Pacific Rim Dairy Digester,Livestock,69292,Pacific Rim,
228,Origin Climate Inc.,Pagel's Ponderosa Dairy,Livestock,35876,3Degrees,https://3degreesinc.com/
231,Pagel's Ponderosa,Pagel's Ponderosa Dairy,Livestock,70109,Pagel's Dairy,www.pagelsponderosa.com/
121,Environmental Credit,Patterson Farms,Livestock,7682,ClimeCo,https://climeco.com/
61,ClimeCo Corporation,Patterson Farms COP,Livestock,18283,ClimeCo,https://climeco.com/
