,Offset.Project Operator,Project.Name,Project Type,tot,Project Owner ,Website,City,State
175,Finite Carbon,Finite Carbon – The Forestland,U.S. Forest,1641999,Finite Carbon,https://www.finitecarbon.com/,Lancaster,NH
176,Finite Carbon,Finite Carbon – Upper Hudson,U.S. Forest,1139633,Finite Carbon,https://www.finitecarbon.com/,Warrensburg,NY
177,Finite Carbon,Finite Carbon Farm Cove,U.S. Forest,229402,Finite Carbon,https://www.finitecarbon.com/,Grand Lake Stream,ME
178,Finite Carbon,Virginia Highlands I,U.S. Forest,156167,Finite Carbon,https://www.finitecarbon.com/,Lebanon,VA
179,Finite Carbon,Warm Springs Phase One,U.S. Forest,1813212,Finite Carbon,https://www.finitecarbon.com/,Warm Springs,OR
180,Finite Carbon,Wyoming Improved Forest,U.S. Forest,3848402,Finite Carbon,https://www.finitecarbon.com/,Pikeville ,WV
181,Fiscalini Properties,Fiscalini Farms Anaerobic,Livestock,17840,Fiscalini Properties,,Modesto,CA
182,Forest Carbon Partners,Forest Carbon Partners –,U.S. Forest,3951129,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Berea,KY
183,Forest Carbon Partners,Forest Carbon Partners – Eddie,U.S. Forest,222177,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Mendocino,CA
184,Forest Carbon Partners,Forest Carbon Partners – Glass,U.S. Forest,218922,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Eureka,CA
185,Forest Carbon Partners,Hanes Ranch Forest Carbon,U.S. Forest,102870,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Mendocino,CA
186,Forest Carbon Partners,Montesol – Forest Carbon,U.S. Forest,176441,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Napa,CA
187,Forest Carbon Partners,Round Valley Indian Tribes,U.S. Forest,513385,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Mendocino,CA
188,Forest Carbon Partners,Trinity Timberlands University,U.S. Forest,685099,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Weaverville,CA
189,Forest Carbon Partners,Yurok Tribe Sustainable Forest,U.S. Forest,1119977,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Eureka,CA
190,Forest Carbon Partners,Yurok Tribe/Forest Carbon,U.S. Forest,828233,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Eureka,CA
191,Gardeau Crest,Gardeau Crest Dairy,Livestock,56187,Gardeau Crest,,Perry,NY
192,George DeRuyter and Sons Dairy,George DeRuyter and Sons,Livestock,28932,Terrapass,https://www.terrapass.com/project/george-deruyter-and-sons-dairy,Yakima,WA
193,GJ TeVelde,GJ TeVelde Ranch Dairy,Livestock,27942,GJ TeVelde,,Tulare ,CA
194,Global Carbon,Bluesource GCS Bear Canyon,Mine Methane,59904,Blue Source,http://www.bluesource.com/,East Carbon,UT
195,Green Assets,Green Assets – BJT Avoided,U.S. Forest,243527,Green Assets,https://www.green-assets.com/,Atlanta,GA
196,Green Assets,Green Assets – HMWCF-I,U.S. Forest,729216,Green Assets,https://www.green-assets.com/,Lagrange,GA
197,Green Assets,Green Assets – HMWCF-II,U.S. Forest,548909,Green Assets,https://www.green-assets.com/,Crestview,FL
198,Green Assets,Green Assets – Lukens,U.S. Forest,199588,Green Assets,https://www.green-assets.com/,Lukens Island,NC
199,Green Assets,Green Assets – Middleton,U.S. Forest,453455,Green Assets,https://www.green-assets.com/,Charleston,SC
200,Green Diamond Resource Company,Green Diamond Resource,U.S. Forest,485492,Green Diamond Resource Company,https://www.greendiamond.com/,Klamath Falls,OR
201,Green Valley,Green Valley Dairy Methane,Livestock,66954,Terrapass,https://www.terrapass.com/,Krakow,WI
202,Grotegut Dairy,"Grotegut Dairy Farm, Inc.",Livestock,43865,Terrapass,https://www.terrapass.com/,Newton,WI
203,High Island Dairy,High Island Dairy,Livestock,52086,High Island Dairy,,Le Sueur,MN
204,Holsum Dairies,Holsum Elm,Livestock,48567,Holsum Dairies,www.holsumdairies.com/,Chilton,WI
205,Holsum Dairies,Holsum Elm Dairy,Livestock,48481,Holsum Dairies,www.holsumdairies.com/,Chilton,WI
206,Holsum Dairies,Holsum Irish Dairy,Livestock,72657,Holsum Dairies,www.holsumdairies.com/,Chilton,WI
207,Hudson Technologies,Hudson Tech 2018-1,Ozone Depleting Substances,21967,Hudson Technologies,https://www.hudsontech.com/,Bowling Green,OH
208,Hudson Technologies,Hudson Tech 2019-1,Ozone Depleting Substances,54157,Hudson Technologies,https://www.hudsontech.com/,Bowling Green,OH
209,Huron Mountain,Huron Mountain Club Forest,U.S. Forest,1099667,Huron Mountain Club,https://huronmountainclub.org/,Marquette,MI
210,Ideal Family Farms,Ideal Family Farms Digester,Livestock,21042,Ideal Family Farms,,Beavertown,PA
211,"Irony, LLC",Irony,Ozone Depleting Substances,8330,"Irony, LLC",,Bowling Green,OH
212,Keyrock Energy Inc,Corinth Abandoned Mine,Mine Methane,1189749,Keyrock Energy Inc,,Thompsonville,IL
213,Lamb Dairy Digesters,Lambs Dairy Digester,Livestock,29203,Lamb Dairy Digesters,,Oakfield,NY
214,Maas Energy,Van Steyn Dairy Digester,Livestock,5572,Maas Energy,https://www.maasenergy.com/,Sacramento,CA
215,Mailliard Ranch,Mailliard Ranch,U.S. Forest,763870,The Conservation Fund,https://www.conservationfund.org/,Eureka,CA
216,Maple Leaf Dairy,Maple Leaf Dairy East,Livestock,25013,Maple Leaf Dairy,,Manitowoc,WI
217,Maple Leaf Dairy,Maple Leaf Dairy West,Livestock,61474,Maple Leaf Dairy,,Manitowoc,WI
218,McElroy Green Marketing,Marshall County VAM,Mine Methane,1045923,McElroy Green Marketing,,Glen Easton,WV
219,McElroy Green Marketing,Verdeo McElroy VAM,Mine Methane,197411,McElroy Green Marketing,,Glen Easton,WV
220,Mendocino Redwood Company,Greenwood Creek,U.S. Forest,267975,Mendocino Redwood Company,https://www.hrcllc.com/,Mendocino,CA
221,Mendocino Redwood Company,Hollow Tree,U.S. Forest,660635,Mendocino Redwood Company,https://www.hrcllc.com/,Mendocino,CA
